ID,Team
2569,SOUTH CAROLINA STATE
2569,S CAROLINA ST
2571,SOUTH DAKOTA ST
2571,SOUTH DAKOTA STATE
2572,SOUTHERN MISS
2579,SOUTH CAROLINA
2582,SOUTHERN UNIVERSITY
2582,SOUTHERN
2597,ST FRANCIS (BKN)
2597,ST. FRANCIS (BKN)
2597,ST FRANCIS (NY)
2597,ST. FRANCIS (NY)
2598,ST. FRANCIS (PA)
2598,ST FRANCIS (PA)
2598,ST. FRANCIS U
2599,ST. JOHN'S
2603,SAINT JOSEPH'S
2608,ST MARY'S
2608,ST. MARY'S
2608,SAINT MARY'S
2612,ST. PETER'S
2617,SF AUSTIN
2617,STEPHEN F. AUSTIN
2619,STONY BROOK
2623,MISSOURI ST
2623,MISSOURI STATE
2628,TCU
2630,TENNESSEE-MARTIN
2630,TENN-MARTIN
2630,UT MARTIN
2633,TENNESSEE
2634,TENNESSEE STATE
2634,TENN ST
2634,TENNESSEE ST
2635,TENN TECH
2635,TENNESSEE TECH
2636,UT-SAN ANTONIO
2636,UTSA
2638,UTEP
2640,TEXAS SOUTHERN
2641,TEXAS TECH
2643,THE CITADEL
2643,CITADEL
2649,TOLEDO
2653,TROY
2655,TULANE
2670,VCU
2670,VIRGINIA COMMONWEALTH
2674,VALPARAISO
2678,VMI
2681,WAGNER
2692,WEBER ST
2692,WEBER STATE
2710,W ILLINOIS
2710,WESTERN ILLINOIS
2711,WESTERN MICHIGAN
2711,W MICHIGAN
2717,W CAROLINA
2717,WESTERN CAROLINA
2724,WICHITA STATE
2724,WICHITA ST
2729,WILLIAM & MARY
2737,WINTHROP
2739,GREEN BAY
2747,WOFFORD
2750,WRIGHT ST
2750,WRIGHT STATE
2751,WYOMING
2752,XAVIER
2754,YOUNGSTOWN STATE
2754,YOUNGSTOWN ST
2755,GRAMBLING STATE
2755,GRAMBLING ST
2803,BRYANT
2803,BRYANT UNIVERSITY
2870,IPFW
2885,NJIT
2885,N.J.I.T.
2908,USC UPSTATE
2908,SOUTH CAROLINA UPST
2908,SOUTH CAROLINA UPSTATE
2908,USC UPST
2916,INCARNATE WORD
2934,CSU BAKERSFIELD
2934,CAL ST BAKERSFIELD
2934,CAL STATE BAKERSFIELD
3084,UTAH VALLEY
