ID,Rank,Team,W,L,Pyth,AdjO,AdjD,AdjT,Luck,PP0,PP1,PP2,PP3
278,123,Fresno St.,17,16,0.5936,110,106.4,66.8,0.006,0.394700828,0.238709533,0.253068001,0.113521639
2571,124,South Dakota St.,19,12,0.5897,105.6,102.3,67.6,0.009,0.3716975,0.269616398,0.262394531,0.096291571
104,125,Boston University,24,10,0.5863,105,101.9,66.7,0.092,0.433970556,0.183256427,0.263678312,0.119094704
171,126,Columbia,19,12,0.5858,105.4,102.2,62.1,-0.014,0.390323364,0.263188154,0.220771422,0.12571706
2750,127,Wright St.,20,14,0.579,100,97.3,64.9,-0.05,0.414547276,0.242194891,0.251544326,0.091713507
119,128,Towson,23,10,0.5786,110.9,107.9,65.3,0.073,0.336159174,0.299724365,0.273782225,0.090334237
2198,129,Eastern Kentucky,24,9,0.5776,111.3,108.3,66.1,0.041,0.354881884,0.261884048,0.248053715,0.135180352
248,130,Houston,17,16,0.5768,111.2,108.2,67.1,0.056,0.416386083,0.209652076,0.278787879,0.095173962
245,131,Texas A&M,17,15,0.5725,100.2,97.7,63.2,-0.005,0.443015564,0.205280346,0.262701422,0.089002668
328,132,Utah St.,18,14,0.5669,107.7,105.2,63.9,0.01,0.398559617,0.21370223,0.278655808,0.109082345
2006,133,Akron,21,12,0.5655,103.1,100.7,65.2,0.086,0.435047711,0.208067794,0.249405767,0.107478728
2182,134,Drexel,16,14,0.5612,103.9,101.7,64.1,-0.031,0.393314756,0.241248998,0.28705577,0.078380476
77,135,Northwestern,14,19,0.5611,96.1,94.1,61.6,0.033,0.478076311,0.201148039,0.216101491,0.104674159
2,136,Auburn,14,16,0.5593,109,106.7,67.7,-0.025,0.386165377,0.258508416,0.270794938,0.084531269
2244,137,George Mason,11,20,0.5585,106.1,103.9,66.9,-0.036,0.414874868,0.229820233,0.283397956,0.071906944
36,138,Colorado St.,16,16,0.5551,109.5,107.4,66.7,-0.073,0.330820541,0.302961844,0.285364375,0.080853239
2287,139,Illinois St.,16,15,0.5547,102,100.1,68.1,0.019,0.437444923,0.203872627,0.263891204,0.094791245
2172,140,Denver,16,15,0.5547,110.4,108.4,59.2,-0.03,0.420289855,0.198067633,0.245840043,0.135802469
103,141,Boston College,8,24,0.5537,113.3,111.2,63,-0.074,0.392425007,0.255043636,0.230917886,0.121613471
301,142,San Diego,16,16,0.5509,104.3,102.4,62.9,-0.026,0.41334577,0.224352287,0.261662514,0.100639429
2870,143,IPFW,24,10,0.5459,107.3,105.6,66.9,0.065,0.381113207,0.223255406,0.277643756,0.117987631
2184,144,Duquesne,13,17,0.5421,110,108.4,68.1,-0.053,0.398801021,0.234423647,0.260307925,0.106467407
299,145,Long Beach St.,15,17,0.5413,104.1,102.6,66.7,-0.024,0.432304782,0.186137189,0.292899168,0.088658861
2440,146,Nevada,15,17,0.5399,107.9,106.4,65.4,0.027,0.392134047,0.237374913,0.270886665,0.099604375
62,147,Hawaii,20,11,0.5363,109.9,108.6,68.7,-0.045,0.339701808,0.262096079,0.316814383,0.08138773
2623,148,Missouri St.,20,12,0.5332,105.5,104.3,64.7,0.13,0.411750742,0.238338279,0.244035608,0.105875371
2514,149,Quinnipiac,20,11,0.5311,111.3,110.1,69.9,0.073,0.334468872,0.299601809,0.290577658,0.07535166
2083,150,Bucknell,16,14,0.5284,101.7,100.7,64.8,-0.041,0.431824144,0.201983107,0.263364986,0.102827763
107,151,Holy Cross,19,13,0.5266,103.6,102.6,63.9,0.028,0.40787478,0.241703573,0.25286659,0.097555057
2541,152,Santa Clara,14,19,0.522,106.6,105.8,65.6,-0.043,0.400018404,0.23741603,0.248458636,0.114106929
79,153,Southern Illinois,14,19,0.5181,105.8,105.1,63,-0.061,0.391524638,0.236920039,0.301145351,0.070409972
225,154,Brown,15,13,0.5145,101.1,100.6,70,-0.107,0.438176493,0.201706354,0.263338851,0.096778301
5,155,UAB,18,13,0.5136,103.5,103,68.5,-0.009,0.400192599,0.232952722,0.29440088,0.072453799
93,156,Murray St.,18,11,0.5124,107.7,107.3,67.4,0.017,0.36063686,0.259850799,0.273369048,0.106143293
30,157,USC,11,21,0.5093,102.2,101.8,70.3,-0.015,0.425119767,0.223637619,0.287220864,0.06402175
279,158,Pacific,15,15,0.5002,108.3,108.3,67.1,0.062,0.377717223,0.261596581,0.265560166,0.09512603
218,159,Temple,9,22,0.4987,109.3,109.3,67.9,-0.078,0.418339363,0.200032263,0.288986703,0.09264167
2908,160,USC Upstate,19,14,0.4976,105.4,105.5,65.7,-0.046,0.394175796,0.219772872,0.293773473,0.092277859
2674,161,Valparaiso,18,15,0.4941,102.2,102.4,65.4,-0.014,0.388535603,0.256160066,0.25301975,0.10228458
2032,162,Arkansas St.,19,13,0.4925,106.1,106.4,68.1,0.004,0.378925704,0.24953878,0.268734071,0.102801446
270,163,Milwaukee,21,13,0.4891,104.5,104.9,67.5,0.12,0.407911636,0.253874476,0.235893484,0.102320404
2729,164,William & Mary,20,12,0.4866,112,112.5,65.2,0.095,0.391944836,0.223258954,0.249297795,0.135498415
2619,165,Stony Brook,23,10,0.4857,105,105.6,66,0.017,0.389815974,0.231075607,0.29832222,0.080786199
2492,166,Pepperdine,15,16,0.4853,106.6,107.1,67.1,0.025,0.405762088,0.222598829,0.276926405,0.094712677
2466,167,Northwestern St.,17,14,0.4846,108.4,109,75.6,-0.019,0.364962458,0.243049162,0.319973813,0.072014567
2116,168,UCF,13,18,0.4834,105.7,106.3,67.6,-0.047,0.425153603,0.201079873,0.27369205,0.100074474
2692,169,Weber St.,19,11,0.4782,105.6,106.4,64.4,-0.001,0.355562353,0.279392271,0.255429795,0.109615581
164,170,Rutgers,12,21,0.4779,105.7,106.5,68.6,-0.012,0.420568717,0.219527927,0.272879336,0.087024019
43,171,Yale,15,13,0.4757,100.8,101.6,65.2,0.055,0.382689048,0.290885232,0.250423752,0.076001968
2561,172,Siena,15,17,0.4706,100.9,102,66.4,0.019,0.398492827,0.250590158,0.287815508,0.063101507
13,173,Cal Poly,13,19,0.4697,103.2,104.3,60.2,-0.059,0.431860618,0.200883372,0.260633298,0.106622713
2681,174,Wagner,19,12,0.4652,98.2,99.4,68,0.017,0.411798708,0.22936151,0.280690397,0.078149386
305,175,DePaul,12,21,0.4644,105.2,106.5,67.3,0.032,0.417635057,0.235518496,0.260356604,0.086489843
2429,176,Charlotte,17,14,0.4624,101.5,102.9,69.4,0.046,0.430479228,0.207891144,0.27627035,0.085359278
399,177,Albany,18,14,0.4581,101.9,103.4,63.2,-0.002,0.392578964,0.255136461,0.27525299,0.077031585
2437,178,Nebraska Omaha,16,14,0.458,103.7,105.2,74.2,-0.067,0.409202522,0.247276137,0.252705354,0.090815987
98,179,Western Kentucky,20,12,0.4551,100.7,102.3,66.2,0.113,0.431319159,0.229418921,0.230345866,0.108916054
526,180,Florida Gulf Coast,22,12,0.4545,100.2,101.8,68.3,0.024,0.416851038,0.201365954,0.298842466,0.082940541
2142,181,Colgate,13,18,0.4504,107.8,109.7,64,-0.149,0.43646283,0.166073847,0.26581942,0.131643903
295,182,Old Dominion,16,17,0.4489,99.4,101.1,63.9,0.011,0.449086101,0.201736526,0.269606122,0.079571251
2754,183,Youngstown St.,15,17,0.4485,107,108.9,67.7,-0.053,0.383402043,0.241978849,0.263039971,0.111579136
2747,184,Wofford,20,12,0.4482,100.9,102.8,62,0.024,0.418232017,0.192279249,0.29334911,0.096139624
2351,185,Loyola Marymount,13,19,0.4471,104.1,106,69.7,0.047,0.3926662,0.234752743,0.309891405,0.062689653
2523,186,Robert Morris,21,13,0.447,103.7,105.7,65.3,0.099,0.404065597,0.226455073,0.260886839,0.108592491
265,187,Washington St.,10,21,0.4469,101.2,103.1,62.1,-0.043,0.467169273,0.199684173,0.213947328,0.119199226
2413,188,Morehead St.,20,13,0.4457,102.2,104.2,69.1,0.046,0.360902651,0.286288667,0.277026387,0.075782294
198,189,Oral Roberts,17,16,0.4396,107.4,109.7,64.4,-0.058,0.369944657,0.247603926,0.310195253,0.072256164
116,190,Mount St. Mary's,16,16,0.4391,108.3,110.7,70.1,0.04,0.40789036,0.2279733,0.238174439,0.125961901
259,191,Virginia Tech,9,22,0.4343,98.1,100.4,63.6,-0.081,0.462817697,0.203326012,0.225917791,0.1079385
2473,192,Oakland,13,20,0.4326,109,111.6,69.1,0.025,0.412459756,0.231547225,0.235016098,0.120976921
2309,193,Kent St.,16,16,0.431,102.9,105.4,66.6,-0.022,0.427507563,0.215964626,0.248545497,0.107982313
2174,194,Detroit,13,19,0.4309,100.6,103,67.8,-0.049,0.410623223,0.238277901,0.264903651,0.086195225
2534,195,Sam Houston St.,23,10,0.4308,105.4,108,65.4,0.093,0.359613016,0.273373792,0.263166654,0.103846538
2181,196,Drake,15,16,0.4261,103.9,106.6,64.6,0.024,0.418505302,0.2196311,0.241744987,0.120118611
